phylumpro,a1,a2,a3,a4,a5,a6,a7,a8,b1,b2,b3,b4,b5,b6,b7,b8,c1,c2,c3,c4,c5,c6,c7,c8,d1,d2,d3,d4,d5,d6,d7,d8,e1,e2,e3,e4,e5,e6,e7,e8,f1,f2,f3,f4,f5,f6,f7,f8
Alphaproteobacteria,16.72154784,14.67762991,14.17882821,14.6639908,13.88071625,16.01036572,26.45792335,27.75948405,14.44576506,24.56988095,15.91489196,15.69861466,18.08740721,16.92028915,25.38627906,26.06433763,16.75467139,15.30113205,21.32377297,17.46195663,30.41131656,32.62474914,22.62728212,22.9838474,13.28254389,19.80983185,29.22471407,35.17915944,22.666251,26.56703622,33.56389923,24.35750054,31.96617501,26.11499717,31.91356702,34.99405725,31.45178575,31.67585683,37.50560178,24.23280011,31.32903377,27.01907527,32.54486293,36.67166767,29.51892914,36.16896908,31.99150478,32.56239892
Gammaproteobacteria,11.61467568,10.97558599,14.10089044,10.92102956,12.98053504,26.57288155,22.57662257,26.11304873,12.05112717,13.89825225,11.53478947,13.07016347,12.69995908,11.26005884,30.79710851,34.12894803,12.05892095,13.21824523,12.75841241,40.37371159,16.69621807,17.38986419,16.04543772,19.65590476,56.0216667,21.6959258,19.17658749,22.0661302,20.61648773,18.14975742,24.54260273,18.69337334,25.31028973,35.58638427,17.79708902,20.18003624,14.44186817,18.84924887,20.6281784,20.70027083,37.44130312,34.05880404,13.22214212,28.59341816,20.49958108,13.3273581,24.55234495,20.97305302
Actinobacteria,17.45805974,10.88400912,11.87187031,16.45850788,13.91578824,12.63371198,22.05638797,14.22948775,32.66956335,23.85090505,20.58141574,24.65171561,19.13567017,26.97426105,20.57557041,17.99193344,23.64436997,25.38627906,23.6677513,16.83650605,20.1254798,18.43812716,27.38538277,12.19920893,11.88550942,13.00781326,20.63597218,12.59084621,12.493424,22.99553806,12.52459911,24.47635563,13.24552345,12.49537245,17.14046334,14.45355883,24.00678059,17.85164546,13.84954114,24.10809968,10.08125012,16.94367048,23.11049627,14.02490112,20.04559359,19.15710305,15.20565828,15.50377024
Bacteroidetes,17.15215401,17.80877969,18.64855913,19.93648072,16.89106249,14.64450636,15.12966896,17.85749079,15.0653703,19.04604174,16.17403503,17.7035637,16.97679403,15.17253473,13.52220252,12.63176354,14.63476414,15.62067689,15.04198897,11.15289441,17.38791575,15.57586267,15.97139684,20.02416071,8.019796193,18.94667108,17.44636907,17.36258598,17.54963662,17.74058414,17.22034955,17.96660367,20.0105216,13.14225591,18.68752801,15.28359605,18.55698225,17.35284375,13.59429496,15.46480136,13.05652437,13.01171015,19.15125772,11.67507745,17.12682423,19.16294839,16.65724919,18.24912807
Betaproteobacteria,26.36634647,35.13239678,29.14482785,29.07663231,28.67135592,21.46406095,8.095785515,9.120667147,15.45700758,11.67507745,25.58891725,18.16729342,24.70822049,19.65980165,5.506303217,5.445901448,22.90201274,18.3913645,16.99238158,7.813261111,7.92042554,8.633556105,10.40274341,18.2062623,4.884749528,18.66219823,7.068955439,8.50495879,17.76396547,8.208795277,8.050971299,8.101630848,4.512596692,7.193655866,7.789879781,10.48068118,6.425968864,7.56970559,10.54108295,8.984276056,4.09562964,4.728873994,6.581844397,4.676266002,6.3304951,5.588137872,5.695302301,6.301268437
Verrucomicrobia,1.819846852,1.371704694,1.303509148,2.903181809,1.83738285,2.439452098,0.954737642,0.777429223,2.8895427,1.443797128,1.699043314,2.657677844,1.447694016,2.21148413,0.773532334,0.615708357,2.199793465,3.320148861,2.511544532,1.118406952,1.07554118,0.946943865,1.913372172,1.024881632,0.785222999,1.90752684,1.151530503,0.670264794,2.509596088,1.213880716,0.568945697,0.983964305,0.524131481,1.003448746,1.067747404,0.839779436,1.001500302,1.174911833,0.518286149,1.194396275,0.539719034,0.648831908,0.826140327,0.777429223,1.344426475,1.093077178,1.011242523,0.902129649
Firmicutes,1.519786451,1.213880716,1.167118056,1.37949847,1.874403289,1.474972235,1.523683339,0.668316349,1.870506401,1.328838922,1.529528671,2.059505485,1.108664731,2.11795881,1.030726965,1.163221168,1.597724217,1.771135748,1.870506401,1.971825497,1.188550942,1.200241607,1.492508232,0.900181205,3.290922199,0.787171444,1.176860277,0.652728796,0.775480779,1.032675409,0.518286149,0.925510979,1.102819399,0.950840754,1.658125986,1.054108295,1.371704694,1.587981996,0.880696764,1.268437153,0.84172788,0.672213238,1.738012197,0.822243439,0.954737642,1.326890478,1.451590905,1.605517994
Epsilonproteobacteria,3.26364398,4.873058862,6.110320909,1.336632699,5.722580519,2.092629036,0.74820256,0.88849054,0.331235508,0.837830992,3.016191571,0.859263878,2.513492976,0.718975898,0.270833739,0.315647955,2.129649475,0.915768759,0.738460339,0.77158389,0.580636362,0.722872786,0.652728796,1.474972235,0.319544843,1.589930441,0.329287064,0.504647039,1.671765096,0.39748261,0.592327027,0.851470101,0.637141243,0.826140327,0.253297742,0.226019523,0.241607077,0.278627516,0.311751067,0.483214153,0.635192799,0.14028798,0.541667479,0.185102196,0.344874618,0.465678156,0.272782183,0.239658633
Deltaproteobacteria,1.377550026,1.059953627,1.256746488,1.291818483,1.451590905,1.095025622,0.720924342,0.820294994,1.722424644,1.313251369,1.28597315,2.139391696,1.096974066,1.876351733,0.689749235,0.500750151,1.381446915,1.866609512,1.825692185,0.880696764,1.067747404,1.106716287,1.35611714,1.646435321,0.549461255,1.65033221,1.009294079,0.800810553,1.718527756,1.130097617,0.779377667,1.079438069,0.761841669,0.880696764,0.882645208,0.785222999,0.867057654,0.913820314,0.623502134,1.001500302,0.713130565,0.691697679,0.7014399,0.736511895,0.921614091,0.761841669,0.952789198,0.98201586
